pose	name	mode	xpos	ypos	framelate	diray	setFrame	start	end
default	ribon	display	20	-188	45	0			
default	hair	displayFrame	-45	-210			0		
default	body	displayFrame	0	0			0		
default	arm	displayFrame	16	0			0		
default	face	displayFrame	13	-147			0		
default	eye	displayRange	40	-72	135	0	0	0	1
default	mark	nodisplay							
jump	ribon	display	20	-188	10	0			
jump	hair	displayFrame	-45	-210			0		
jump	body	displayFrame	0	0			0		
jump	arm	displayFrame	16	0			0		
jump	face	displayFrame	13	-147			0		
jump	eye	displayFrame	40	-72			3		
jump	mark	displayFrame	-43	-134			2		
hesitate	ribon	display	20	-188	45	0			
hesitate	hair	displayFrame	40	72			0		
hesitate	body	displayFrame	0	0			1		
hesitate	arm	displayFrame	16	0			1		
hesitate	face	displayFrame	13	-147			0		
hesitate	eye	displayFrame	40	-72			1		
hesitate	mark	nodisplay							
sleep	ribon	display	20	-188	135	45			
sleep	hair	displayFrame	-45	-210			0		
sleep	body	displayFrame	0	0			0		
sleep	arm	displayFrame	16	0			0		
sleep	face	displayFrame	13	-147			0		
sleep	eye	displayFrame	40	-72			2		
sleep	mark	displayRange	-50	-180	45	90		3	5
happy	ribon	display	20	-188	10	0			
happy	hair	displayFrame	-45	-210			0		
happy	body	displayFrame	0	0			0		
happy	arm	displayFrame	65	4			2		
happy	face	displayFrame	13	-147			0		
happy	eye	displayFrame	40	-72			5		
happy	mark	displayFrame	-43	-134			2		
gohan	ribon	display	18	-122	45	0			
gohan	hair	displayFrame	-47	-144			0		
gohan	body	displayFrame	9	68			2		
gohan	arm	displayRange	35	45	45	0		3	4
gohan	face	displayRange	11	-81	45	0		1	2
gohan	eye	displayRange	37	-16	45	0		6	7
gohan	mark	displayFrame	-16	131			6		
pose	ribon	dammy36	289.6666667	101.6666667	5219	22.16666667	71		
pose	hair								
pose	body								
pose	arm								
pose	face								
pose	eye								
pose	mark								
pose	ribon								
pose	hair								
pose	body								
pose	arm								
pose	face								
pose	eye								
pose	mark								
pose	ribon								
pose	hair								
pose	body								
